idx_feat_u,x,y,idx_part_u,idx_vert_u,vert_type,idx_feat_f,dist_feat_f,d,az,iF,interface,linkL,linkR,lengthL,lengthR,segmentL,segmentR,azimuthL,azimuthR,newvar,newflamvar
1,-98480.0,-102188.0,1011,103,5,1,211.20606051910536,-1.0,-1.0,-1,0,0,0,24.041630560342615,10.816653826391969,-1,-1,196.9275130641471,33.690067525979806,245811.0,1
1,-98487.0,-102211.0,1011,104,5,1,233.89313799254566,-1.0,-1.0,-1,0,0,0,1.0,24.041630560342615,-1,-1,180.0,16.927513064147032,245811.0,1
1,-98487.0,-102212.0,1011,105,5,1,234.71045992882378,-1.0,-1.0,-1,0,0,0,1.0,1.0,-1,-1,180.0,0.0,245811.0,1
1,-98487.0,-102213.0,1011,106,5,1,235.52919139673537,-1.0,-1.0,-1,0,0,0,24.20743687382041,1.0,-1,-1,141.70983680775691,0.0,245811.0,1
1,-98472.0,-102232.0,1011,107,5,1,240.16869071550522,-1.0,-1.0,-1,0,1,0,46.06517122512408,24.20743687382041,7,-1,242.87869659584132,321.7098368077569,245811.0,1
1,-98513.0,-102253.0,1011,108,4,1,283.21370023358685,283.21370023358685,34.64397375072998,1,1,1,1,16.15549442140351,46.06517122512408,7,8,248.19859051364818,62.87869659584134,245811.0,1
1,-98528.0,-102259.0,1011,109,4,1,296.8113879216901,296.8113879216901,36.36799327823239,1,1,1,1,9.486832980505138,16.15549442140351,7,8,251.565051177078,68.19859051364818,245811.0,1
1,-98537.0,-102262.0,1011,110,4,1,304.6128690649822,304.6128690649822,37.39656758722021,1,1,1,1,1.0,9.486832980505138,7,8,270.0,71.56505117707799,245811.0,1
1,-98538.0,-102262.0,1011,111,4,1,305.2212312405544,305.2212312405544,37.545701187251545,1,1,1,1,1.0,1.0,7,8,180.0,90.0,245811.0,1
1,-98538.0,-102263.0,1011,112,5,1,306.01470552899906,-1.0,-1.0,-1,0,0,1,8.54400374531753,1.0,-1,8,200.5560452195835,0.0,245811.0,1
